url,status,notes
https://jbr-consultancy.com/references/1box-self-storage-takes-over-kubox/,processing,URL is being processed
https://jbr-consultancy.com/references/complete-people-work-and-residential-care-network-bundling-forces/,crawled,Successfully processed
https://jbr-consultancy.com/references/the-pgz-groep-has-been-taken-over-by-allerzorg/,crawled,Successfully processed
https://jbr-consultancy.com/references/the-values-group-continues-maternity-care-activities-allercare/,crawled,Successfully processed
https://jbr-consultancy.com/references/grafimedics-acquires-hamilton-medical-the-netherlands/,crawled,Successfully processed
https://jbr-consultancy.com/references/jasa-and-quadrum-capital-join-forces-in-a-strategic-collaboration/,crawled,Successfully processed
https://jbr-consultancy.com/references/jbr-helps-european-healthcare-organization-define-growth-strategy/,no_deals,Not deal related
https://jbr-consultancy.com/references/jbr-is-approached-by-a-transport-company-to-define-a-growth-strategy/,no_deals,Not deal related
https://jbr-consultancy.com/references/jbr-performs-commercial-due-diligence-for-family-office/,crawled,Successfully processed
https://jbr-consultancy.com/references/privazorg-becomes-part-of-the-network-of-fundis/,crawled,Successfully processed
https://jbr-consultancy.com/references/starcuisine-and-bracamonte-convenient-kitchen-reinforce-each-other-through-strategic-collaboration/,crawled,Successfully processed
https://jbr-consultancy.com/references/vmt-ecopack-sold-to-conteyor/,crawled,Successfully processed
https://jbr-consultancy.com/references/living-at-september-takes-over-van-hollant-residential-care-organization/,crawled,Successfully processed
https://jbr-consultancy.com/references/ddi-and-4insurance-take-over-infofolio/,crawled,Successfully processed
https://jbr-consultancy.com/references/research-into-the-socio-economic-impact-of-apollo-vredestein-for-stakeholders-for-region-twente/,no_deals,Not deal related
https://jbr-consultancy.com/references/jbr-is-asked-to-perform-a-financial-benchmark-for-family-office/,no_deals,Not deal related
https://jbr-consultancy.com/references/potential-and-positioning-of-digital-player-in-cash-and-value-transport/,no_deals,Not deal related
https://jbr-consultancy.com/references/jbr-has-approached-for-concreting-a-buy-and-build-family-office-strategy/,crawled,Successfully processed
https://jbr-consultancy.com/references/hospidex-recruits-100-of-the-shares-of-nc-medical/,crawled,Successfully processed
https://jbr-consultancy.com/references/npm-capital-acquires-a-majority-stake-in-hq-group/,crawled,Successfully processed
https://jbr-consultancy.com/references/cyan-renewables-takes-greenwind-from-deme/,crawled,Successfully processed
https://jbr-consultancy.com/references/growth-capital-for-watcherr/,processing,URL is being processed
https://jbr-consultancy.com/references/denso-acquires-certhon/,crawled,Successfully processed
https://jbr-consultancy.com/references/ziut-sold-to-spie-the-netherlands/,crawled,Successfully processed
https://jbr-consultancy.com/references/corendon-en-5square/,crawled,Successfully processed
https://jbr-consultancy.com/references/resolve-marine-sells-its-activities-in-gibraltar-to-boluda-2/,crawled,Successfully processed
https://jbr-consultancy.com/references/active-capital-takes-majority-stake-in-technobis/,crawled,Successfully processed
https://jbr-consultancy.com/references/bencis-capital-takes-over-geo-square/,crawled,Successfully processed
https://jbr-consultancy.com/references/eolos-gets-capital-injection-from-the-swiss-prorsum/,crawled,Successfully processed
https://jbr-consultancy.com/references/made-takes-over-rombit/,crawled,Successfully processed
https://jbr-consultancy.com/references/vroon-sells-significant-part-of-offshore-division-to-britoil-and-rederij-groen/,crawled,Successfully processed
https://jbr-consultancy.com/references/ijssel-technologie-takes-over-preventive-maintenance-group/,crawled,Successfully processed
https://jbr-consultancy.com/references/ijssel-technology-takes-over-jd-technology/,crawled,Successfully processed
https://jbr-consultancy.com/references/heating-service-installation-technology-and-vdk-group/,crawled,Successfully processed
https://jbr-consultancy.com/references/jbr-help-supplier-of-industrial-led-lighting-with-tightening-of-strategic-plan/,no_deals,Not deal related
https://jbr-consultancy.com/references/jbr-is-approached-by-a-wholesaler-of-pv-systems-to-define-a-growth-strategy/,no_deals,Not deal related
https://jbr-consultancy.com/references/kivit-holding-acquires-mcl-born-bv-from-sitech-manufacturing-services/,processing,URL is being processed
https://jbr-consultancy.com/references/pryme-introduces-shares-on-oslo-euronext-growth/,crawled,Successfully processed
https://jbr-consultancy.com/references/croonwolterdros-acquires-system-integrator-cruxin/,crawled,Successfully processed
https://jbr-consultancy.com/references/sensorfact-raises-growth-capital/,crawled,Successfully processed
https://jbr-consultancy.com/references/caspar-de-haan-takes-over-rendon-maintenance-group/,crawled,Successfully processed
https://jbr-consultancy.com/references/samskip-and-matrans-join-forces/,crawled,Successfully processed
https://jbr-consultancy.com/references/defining-a-growth-strategy-for-operator-of-chemical-tankers/,no_deals,Not deal related
https://jbr-consultancy.com/references/commercial-due-diligence-for-smile-invest/,no_deals,Not deal related
https://jbr-consultancy.com/references/rimorchiatori-mediterranei-acquires-keppel-smit-towage-and-maju-maritime-/,crawled,Successfully processed
https://jbr-consultancy.com/references/blue-ocean-capital-takes-over-dancer-group/,crawled,Successfully processed
https://jbr-consultancy.com/references/psa-marine-buys-tramarsa-flota-and-expands-services-from-latin-america/,crawled,Successfully processed
https://jbr-consultancy.com/references/blue-ocean-terminals-acquires-100-of-the-shares-in-rotterdam-short-sea-terminals/,crawled,Successfully processed
https://jbr-consultancy.com/references/boskalis-sells-its-shareholding-in-kotug-towage-to-boluda/,crawled,Successfully processed
https://jbr-consultancy.com/referenties/sogestran-group-investeert-in-de-poli-tankers-om-samen-de-europese-activiteiten-van-chemicalien-tankers-over-te-nemen-van-team-tankers/,crawled,Successfully processed
https://jbr-consultancy.com/references/research-on-availability-of-renewable-energy-in-ports/,no_deals,Not deal related
https://jbr-consultancy.com/references/demaco-joins-opw-clean-energy-solutions-a-dover-company/,crawled,Successfully processed
https://jbr-consultancy.com/references/jbr-conducted-a-strategic-market-study-for-a-tank-terminal-operator/,no_deals,Not deal related
https://jbr-consultancy.com/references/growth-capital-for-the-hazard-factory/,crawled,Successfully processed
https://jbr-consultancy.com/references/osmaia-takes-over-tg-group/,crawled,Successfully processed
https://jbr-consultancy.com/references/groupe-lt-takes-over-from-rens/,crawled,Successfully processed
https://jbr-consultancy.com/references/peka-kroef-takes-frespo-over-from-nimbus/,crawled,Successfully processed
https://jbr-consultancy.com/references/qterminals-acquires-a-majority-interest-in-kramer-group/,crawled,Successfully processed
https://jbr-consultancy.com/references/growth-capital-for-realfacevalue/,crawled,Successfully processed
https://jbr-consultancy.com/references/sd-guthrie-international-limited-takes-a-majority-stake-in-marvesa/,crawled,Successfully processed
https://jbr-consultancy.com/references/moon-special-products-and-nordian/,crawled,Successfully processed
https://jbr-consultancy.com/references/tsg-netherlands-and-kronenburg-technology/,no_deals,Not deal related
https://translinkcf.com/2017/05/09/sponsor-capital-acquires-majority-in-tlt-group-oy-translink-corporate-finance-advised-tlt-group-in-the-transaction/,crawled,Successfully processed
https://translinkcf.com/2017/04/24/translink-advises-craig-derricott-holdings-limited-on-sale-to-addtech-power-solutions/,crawled,Successfully processed
https://translinkcf.com/2016/11/15/translink-advises-sperre-group-on-its-sale-of-66-of-the-shares-in-sperre-as-to-akva-group-asa/,crawled,Successfully processed
https://translinkcf.com/2016/03/01/swedfarm-sold-to-storskogen-utveckling-ab-2/,crawled,Successfully processed
https://translinkcf.com/2015/11/04/translink-advises-askoll-on-its-100-sale-of-askoll-sei-srl-to-the-taco-group/,crawled,Successfully processed
https://translinkcf.com/2025/02/20/translink-corporate-finance-advised-mition-on-the-acquisition-of-klst/,crawled,Successfully processed
https://translinkcf.com/2025/02/21/translink-corporate-finance-advised-the-buhlmann-group-on-the-acquisition-of-trupply/,crawled,Successfully processed
https://translinkcf.com/2025/02/03/translink-corporate-finance-advised-ggw-group-on-the-acquisition-of-cogesa/,crawled,Successfully processed
